region;value;age
Sevilla;23525;9
Soria;794;9
Tarragona;9430;9
Teruel;1197;9
Toledo;8151;9
Valencia/Valencia;27265;9
Valladolid;4963;9
Zamora;1182;9
Zaragoza;9954;9
Ceuta;1280;9
Melilla;1348;9
Albacete;4142;10
Alicante/Alacant;20362;10
Almeria;8698;10
Araba/Alava;3512;10
Asturias;8573;10
Avila;1482;10
Badajoz;7119;10
Balears Illes;12850;10
Barcelona;62413;10
Bizkaia;11306;10
Burgos;3361;10
Caceres;3665;10
Cadiz;14862;10
Cantabria;5938;10
Castellon/Castello;6392;10
CiudadReal;5227;10
Cordoba;8409;10
CoruaA;10116;10
Cuenca;1833;10
Gipuzkoa;7539;10
Girona;9031;10
Granada;10404;10
Guadalajara;3294;10
Huelva;6212;10
Huesca;2208;10
Jaen;6633;10
Leon;3545;10
Lleida;4855;10
Lugo;2351;10
Madrid;74236;10
Malaga;19134;10
Murcia;18362;10
Navarra;7352;10
Ourense;2247;10
Palencia;1263;10
PalmasLas;11332;10
Pontevedra;9121;10
Rioja La;3307;10
Salamanca;2875;10
Santa Cruz de Tenerife;10256;10
Segovia;1513;10
Sevilla;24626;10
Soria;824;10
Tarragona;9654;10
Teruel;1239;10
Toledo;8479;10
Valencia/Valencia;28526;10
Valladolid;5003;10
Zamora;1220;10
Zaragoza;10278;10
Ceuta;1287;10
Melilla;1298;10
Albacete;4155;11
Alicante/Alacant;20699;11
Almeria;8673;11
Araba/Alava;3445;11
Asturias;8420;11
Avila;1466;11
Badajoz;7108;11
Balears Illes;12962;11
Barcelona;63247;11
Bizkaia;11306;11
Burgos;3421;11
Caceres;3719;11
Cadiz;15299;11
Cantabria;5880;11
Castellon/Castello;6411;11
CiudadReal;5237;11
Cordoba;8511;11
CoruaA;9919;11
Cuenca;1847;11
Gipuzkoa;7591;11
Girona;8986;11
Granada;10885;11
Guadalajara;3213;11
Huelva;6263;11
Huesca;2201;11
Jaen;6711;11
Leon;3599;11
Lleida;4760;11
Lugo;2363;11
Madrid;74237;11
Malaga;19445;11
Murcia;18729;11
Navarra;7296;11
Ourense;2261;11
Palencia;1263;11
PalmasLas;11885;11
Pontevedra;9100;11
Rioja La;3343;11
Salamanca;2952;11
Santa Cruz de Tenerife;10567;11
Segovia;1491;11
Sevilla;24754;11
Soria;805;11
Tarragona;9634;11
Teruel;1244;11
Toledo;8551;11
Valencia/Valencia;29274;11
Valladolid;5043;11
Zamora;1225;11
Zaragoza;10349;11
Ceuta;1279;11
Melilla;1241;11
Albacete;4123;12
Alicante/Alacant;20209;12
Almeria;8451;12
Araba/Alava;3338;12
Asturias;8221;12
Avila;1408;12
Badajoz;6982;12
Balears Illes;12630;12
Barcelona;62286;12
Bizkaia;10938;12
Burgos;3257;12
Caceres;3662;12
Cadiz;15469;12
Cantabria;5672;12
Castellon/Castello;6337;12
CiudadReal;5165;12
Cordoba;8554;12
CoruaA;9585;12
Cuenca;1882;12
Gipuzkoa;7551;12
Girona;8829;12
Granada;10856;12
Guadalajara;3099;12
Huelva;6089;12
Huesca;2137;12
Jaen;6703;12
Leon;3565;12
Lleida;4571;12
Lugo;2289;12
Madrid;71988;12
Malaga;19214;12
Murcia;18417;12
Navarra;7159;12
Ourense;2208;12
Palencia;1291;12
PalmasLas;12196;12
Pontevedra;8883;12
Rioja La;3247;12
Salamanca;2850;12
Santa Cruz de Tenerife;10493;12
Segovia;1485;12
Sevilla;24068;12
Soria;784;12
Tarragona;9381;12
Teruel;1217;12
Toledo;8266;12
Valencia/Valencia;28549;12
Valladolid;4978;12
Zamora;1207;12
Zaragoza;10126;12
Ceuta;1226;12
Melilla;1217;12
Albacete;3992;13
Alicante/Alacant;19881;13
Almeria;8357;13
Araba/Alava;3264;13
Asturias;8189;13
Avila;1436;13
Badajoz;6884;13
Balears Illes;12352;13
Barcelona;61853;13
Bizkaia;10848;13
Burgos;3222;13
Caceres;3700;13
Cadiz;15347;13
Cantabria;5702;13
Castellon/Castello;6250;13
CiudadReal;5158;13
Cordoba;8603;13
CoruaA;9590;13
Cuenca;1881;13
Gipuzkoa;7416;13
Girona;8733;13
Granada;10651;13
Guadalajara;3039;13
Huelva;5949;13
Huesca;2097;13
Jaen;6715;13
Leon;3559;13
Lleida;4523;13
Lugo;2247;13
Madrid;70554;13
Malaga;19077;13
Murcia;18072;13
Navarra;7027;13
Ourense;2175;13
Palencia;1302;13
PalmasLas;12312;13
Pontevedra;8832;13
Rioja La;3214;13
Salamanca;2864;13
Santa Cruz de Tenerife;10511;13
Segovia;1547;13
Sevilla;23680;13
Soria;790;13
Tarragona;9268;13
Teruel;1186;13
Toledo;8101;13
Valencia/Valencia;28035;13
Valladolid;4947;13
Zamora;1214;13
Zaragoza;9897;13
Ceuta;1200;13
Melilla;1199;13
Albacete;3905;14
Alicante/Alacant;19538;14
Almeria;8074;14
Araba/Alava;3211;14
Asturias;8090;14
Avila;1438;14
Badajoz;6764;14
Balears Illes;12097;14
Barcelona;61030;14
Bizkaia;10842;14
Burgos;3240;14
Caceres;3725;14
Cadiz;14887;14
Cantabria;5677;14
Castellon/Castello;5987;14
CiudadReal;5045;14
Cordoba;8422;14
CoruaA;9500;14
Cuenca;1838;14
Gipuzkoa;7320;14
Girona;8579;14
Granada;10337;14
Guadalajara;2931;14
Huelva;5793;14
Huesca;2090;14
Jaen;6721;14
Leon;3617;14
Lleida;4448;14
Lugo;2257;14
Madrid;70237;14
Malaga;18784;14
Murcia;17711;14
Navarra;6951;14
Ourense;2155;14
Palencia;1299;14
PalmasLas;12434;14
Pontevedra;8807;14
Rioja La;3252;14
Salamanca;2947;14
Santa Cruz de Tenerife;10398;14
Segovia;1509;14
Sevilla;22947;14
Soria;779;14
Tarragona;9040;14
Teruel;1197;14
Toledo;8002;14
Valencia/Valencia;27726;14
Valladolid;4853;14
Zamora;1236;14
Zaragoza;9758;14
Ceuta;1200;14
Melilla;1156;14
Albacete;4007;15
Alicante/Alacant;19389;15
Almeria;7863;15
